cpg,gene,spearman_rho,p_value,q_value
cg16286275,ANLN,-0.03211904823065329,0.44688941255662773,0.5515473546073603
cg01203549,MYC,-0.03186042548887835,0.45055895518683386,0.5547770312697697
cg22431438,UBE2C,-0.03174308365726179,0.4522294895508451,0.5555359929913645
cg27185377,PTTG1,-0.03082384993909656,0.4654362856791143,0.5677891725761418
cg19934709,MMP11,-0.030069298252810392,0.47643491439908014,0.5798642029753239
cg00134212,TYMS,-0.029269020236725212,0.48825356720286117,0.5928793316034744
cg12401425,EXO1,-0.028527581247954924,0.4993424488761079,0.6015485847373715
cg27294629,FGFR4,-0.02820830387459366,0.5041582946533285,0.603844139277964
cg12878260,CXXC5,-0.02800663731125953,0.5072126931645284,0.6061249190424183
cg14868726,NDC80,-0.02765770506813156,0.5125203550590334,0.6110819618011551
cg17537403,GPR160,-0.02659396269888096,0.5288775245295536,0.6291612989324487
cg21934237,NUF2,-0.02625881559929533,0.5340854312064807,0.6325011735861018
cg26661543,NDC80,-0.025776335575313218,0.5416278485615125,0.6383746596969371
cg09139144,ANLN,-0.025764567769850238,0.5418124702457858,0.6383746596969371
cg17733331,CDH3,-0.025709359951078207,0.5426790275981552,0.6383746596969371
cg14824386,SFRP1,-0.025323981133316326,0.5487471602548291,0.6426438965650998
cg18301624,SLC39A6,-0.02475428485970288,0.5577782845472822,0.6494323616482889
cg24741598,EXO1,-0.024632504884311717,0.5597181196026574,0.6497168480850231
cg10896886,ACTR3B,-0.024169660284302112,0.5671204048047939,0.6547843070978437
cg25582403,ERBB2,-0.024140879594369797,0.5675822356520945,0.6547843070978437
cg10717074,UBE2T,-0.024126623738608938,0.5678110594757393,0.6547843070978437
cg10556830,CCNB1,-0.0238953023055081,0.5715301902902583,0.6576340835872624
cg00455333,KIF2C,-0.02351604274658697,0.5776527180532032,0.6617890922044306
cg04780909,FOXC1,-0.023343156873185153,0.5804538589980809,0.6635557129978061
cg08797454,MDM2,-0.023165563877598147,0.5833378563158957,0.6654091997369633
cg03843031,UBE2C,-0.022397227047769627,0.5958912458892724,0.6767988934992384
cg00277996,NDC80,-0.021960338864381222,0.603083630813681,0.6820280545897208
cg26188124,TYMS,-0.020400331327606158,0.6290774272875324,0.7083841969669435
cg07122178,SFRP1,-0.019018320254033973,0.6524960925294359,0.7300752457813433
cg08992911,MLPH,-0.018392340248006164,0.6632188470655961,0.7405007042448499
cg02122913,SLC39A6,-0.01779655306856623,0.673488766193407,0.7487944721179863
cg12339809,SLC39A6,-0.017065200770192784,0.6861788159494833,0.7581053165731189
cg24088685,CCNB1,-0.013466135147395463,0.74986022828355,0.8198679259448773
cg10827253,PHGDH,-0.013065021092614511,0.7570734891761464,0.8243341504046057
cg16353632,KRT5,-0.01290430649229155,0.7599696027057485,0.825781403352432
cg06575065,CDH3,-0.012542933997674146,0.766493830672922,0.8311568904622014
cg07332178,BLVRA,-0.012442403316718987,0.7683117759072464,0.831417465920162
cg11951604,SLC39A6,-0.011828325605359449,0.7794437045482413,0.8382996577488228
cg21246624,MMP11,-0.011664921220930663,0.7824135997728349,0.8389336860256259
cg12105108,NDC80,-0.011212499534331127,0.7906528152522115,0.8434697037204767
cg01052743,MYC,-0.010682410331675933,0.8003361680018258,0.8503571785019399
cg13361393,MMP11,-0.010410473158577162,0.805315759376301,0.8539263685941864
cg22566740,KRT5,-0.009191059534202017,0.8277393178463119,0.8679669913835363
cg14455307,BCL2,-0.009153133578309904,0.8284390828575308,0.8679669913835363
cg23572376,FOXC1,-0.007016032861630378,0.8680736724944411,0.9005409948908868
cg00251536,KIF2C,-0.006649549777211906,0.8749067022866974,0.905846428497229
cg07719884,CDC20,-0.006475319011757181,0.8781585100552082,0.9074304603903818
cg08124804,ORC6,-0.005831586430630939,0.890190376543085,0.9180632650454125
cg11815762,FOXC1,-0.003441242540388117,0.93506717548193,0.9568551485028681
cg26095266,RRM2,-0.002837520497836001,0.9464399119935059,0.9614777243200067
cg06261370,TYMS,-0.00281405213151269,0.9468822370438016,0.9614777243200067
cg12461368,BCL2,-0.0021410009036329706,0.9595741308189241,0.9706248885634797
cg17475304,FGFR4,-0.0019091415137109731,0.963948891608537,0.9731821185396533
cg14420645,MMP11,-0.0012362920196391895,0.9766499839619973,0.9803705553294716
cg14279528,MELK,-0.0010867400233553954,0.9794739286201615,0.9813360463551808
cg23836594,GRB7,-0.0005499263604356428,0.9896122794452684,0.9896122794452684
cg19034028,CDH3,0.001517710681710988,0.9713368607522139,0.9768979496496503
cg14431547,MELK,0.0015646474143576105,0.9704508225042615,0.9768979496496503
cg16445842,BCL2,0.002396395904480925,0.9547567062898697,0.9676092004130026
cg20589264,CEP55,0.002973623573590678,0.9438750090956902,0.9614777243200067
cg03076319,MLPH,0.003286378220495321,0.9379832967183707,0.9579790646716692
cg14085673,CEP55,0.0035525323577665704,0.9329721036100143,0.9565686743238863
cg03869498,FOXC1,0.004067693258634443,0.9232802682252153,0.9484770006914004
cg27417609,CDH3,0.005509484783958558,0.8962203675790019,0.9224768236604179
cg24371383,CEP55,0.007922624594498235,0.851213606362413,0.8847920523727646
cg05642551,CDC6,0.008574493772544595,0.8391319887883826,0.8739576246867146
cg25325612,ORC6,0.008862233427265078,0.8338109056934095,0.8701353411889641
cg08263040,CDC20,0.008949315187691119,0.8322020122171767,0.8701353411889641
cg12354270,UBE2C,0.009617121336564482,0.8198876233430716,0.862436681640317
cg05927173,MYC,0.009702118514308508,0.8183233753274723,0.862436681640317
cg05945943,BCL2,0.010050849023628544,0.8119131154297501,0.8574713663957481
cg03003858,MYC,0.01031276675093312,0.8071068514033485,0.8541070495774391
cg20020464,FOXC1,0.010962416857092176,0.7952172599954637,0.8466252444800189
cg11613243,CCNE1,0.011533256288950596,0.7848089320884888,0.8389336860256259
cg12222323,ERBB2,0.011617648265270812,0.7832733840518825,0.8389336860256259
cg23265604,UBE2C,0.011992469680417336,0.7764635947191714,0.8368022789713768
cg24711708,CENPF,0.012028983499653895,0.775801114074058,0.8368022789713768
cg05598205,ORC6,0.013244564181678239,0.753842102104201,0.8225150886312917
cg00881254,TYMS,0.014151828360572554,0.7375800511922922,0.808117852345817
cg06353098,KRT5,0.014780968862924704,0.7263710661513112,0.7974948997119604
cg26235537,MKI67,0.01594174519379289,0.7058444277315206,0.7765762284227794
cg20489749,SLC39A6,0.01613278710990902,0.7024860253550461,0.7744981911341199
cg04254916,KRT5,0.017107901092872732,0.6854354281039158,0.7581053165731189
cg00164542,SLC39A6,0.017171178263962233,0.6843343677449711,0.7581053165731189
cg26267341,BIRC5,0.018135264132092068,0.6676426148169545,0.7438639704197358
cg12276329,KIF2C,0.01947060745142822,0.6447927837403816,0.7229910575131513
cg09468767,PTTG1,0.019856188002998036,0.6382554706180184,0.7171868507797349
cg03603808,CCNE1,0.021505092904470568,0.6106193960297013,0.6890715668258086
cg17241550,NDC80,0.022208538692746096,0.5989927935872013,0.6788584993988281
cg27207274,MYC,0.02299126586754078,0.5861748052902243,0.6672011282677066
cg06250734,ORC6,0.023691013202670794,0.5748242801689905,0.6599834327866186
cg01581867,BLVRA,0.024725235191359985,0.5582407207337284,0.6494323616482889
cg18785410,MKI67,0.025026625500417527,0.5534520087949037,0.6467166488579031
cg23867624,FOXC1,0.02548086279128849,0.5462728918809447,0.6411710779983472
cg07314148,MKI67,0.026328951719854683,0.5329934411444888,0.6325011735861018
cg00930833,SFRP1,0.028383139841472196,0.5015181194434915,0.6020502253911617
cg18418962,NDC80,0.028486629284943762,0.49995878579690456,0.6015485847373715
cg18491230,ANLN,0.028599600217388357,0.4982595230309489,0.6015485847373715
cg00148881,KIF2C,0.029025124062929654,0.49188656963890565,0.5959177521832258
cg01651593,CDC20,0.030827884615255298,0.46537785548304544,0.5677891725761418
cg00748373,CDH3,0.031640401149021974,0.4536941864837134,0.556039154132365
cg26221243,MYC,0.03256064353622689,0.44066307838894125,0.5464222172022871
cg20629097,EXO1,0.03261222014645606,0.43993911572821753,0.5464222172022871
cg14750501,CCNE1,0.03265834994387093,0.4392921850580769,0.5464222172022871
cg14904908,SFRP1,0.03338721419194649,0.4291430486960076,0.5384723491971334
cg14213824,BAG1,0.036376035045735076,0.3889717419423092,0.495140357496611
cg10340053,MYC,0.038615414803038546,0.3604244123560997,0.46355594393612404
cg19972619,MYC,0.03939841095624381,0.3507604888408513,0.4541788147890139
cg00242976,UBE2C,0.03959953956275677,0.34830480608457837,0.4525556129296638
cg04074793,MKI67,0.03983301282314226,0.3454679141272151,0.4506475018441643
cg02836840,MMP11,0.04034467700467256,0.3393023110371737,0.4448067609865436
cg04817183,RRM2,0.04080866476292713,0.3337724682711337,0.4386486054336346
cg03331258,KIF2C,0.04095142505434373,0.3320827698042236,0.4375190492170645
cg12430567,PTTG1,0.04208974168792829,0.3188073985561096,0.42213944482178334
cg09885951,CENPF,0.044241434483381914,0.2946735961083394,0.39414463235810876
cg23188547,CDC6,0.04453038454095002,0.2915282194095663,0.39092969880112327
cg12057615,MYC,0.045105258648967174,0.2853375605323548,0.3845854076740435
cg06713297,EXO1,0.04524640506992027,0.28383124896082845,0.3845220262271377
cg22632017,ERBB2,0.046873320986327696,0.26685646761790965,0.3624571093676247
cg23843505,MYBL2,0.04943244882921096,0.24158930235492204,0.33504621668695767
cg11995300,CCNE1,0.04999690002381805,0.23625012304483273,0.33055329111030296
cg10985576,UBE2C,0.05132148420673089,0.22404907405994923,0.31655190892652346
cg13890999,NDC80,0.05176509685038386,0.22006508585439447,0.3125991920357571
cg07000989,SLC39A6,0.05224717340675009,0.2157934219790972,0.30735981995401146
cg25844639,CDC20,0.053869852913190845,0.2018532075206576,0.2890669575092026
cg13305312,CDC20,0.053887202020673416,0.2017077876451782,0.2890669575092026
cg16604136,NUF2,0.054770325387217954,0.19440578433585956,0.2806899954657479
cg01288067,MELK,0.0554484199602961,0.18893174215821604,0.2742893336566938
cg23707289,BCL2,0.05589404994202843,0.18539655993890478,0.27064816367812417
cg09238957,ORC6,0.05642353394325981,0.18125988088325728,0.2653443256263239
cg26607641,CDC20,0.05694905051293511,0.17722215506542055,0.2601561997757009
cg18419020,TYMS,0.059085008071369655,0.16149709932975823,0.23966077146830572
cg12269116,KIF2C,0.05989295197215643,0.15583107339080207,0.2319858069970415
cg15778350,NUF2,0.06003127411979842,0.1548763051009853,0.23187446814835014
cg02890457,KIF2C,0.06018573497207534,0.15381538324868263,0.2309421851055719
cg09999250,CCNB1,0.06080035064025603,0.1496483932241766,0.22532772351183164
cg17565113,KRT5,0.06122116736361215,0.14684524676174013,0.22174053021042137
cg13395333,UBE2T,0.06173982498381759,0.14344567659053356,0.21785553764614177
cg11823214,NUF2,0.062426257887623786,0.13903940012988958,0.21302799700282954
cg24549639,MDM2,0.06317287471079779,0.13436561801220753,0.2070487739544835
cg23873448,UBE2C,0.06327064836304447,0.13376263968515853,0.20672407951342683
cg03813215,BCL2,0.06343257336621505,0.13276862925115934,0.20648610657057348
cg09752703,BCL2,0.06429727171163471,0.12755677596684104,0.19947305915289387
cg13849825,CCNB1,0.06474290169336704,0.12493350867104927,0.19595225913584213
cg07718463,CCNE1,0.06678074937654167,0.1134684543123641,0.1800780815276803
cg06166767,SFRP1,0.06977279797125724,0.09815208636795483,0.15964860961701297
cg03639675,ORC6,0.07662872143398845,0.06924033979195586,0.11547360465304031
cg16003390,BCL2,0.08320968171650188,0.0484496613830271,0.08263097588626304
cg21840888,SLC39A6,0.08522574214841934,0.04323955101179468,0.07471227338759277
cg16168723,NDC80,0.08541288387758202,0.04278082061079201,0.07416280415094537
cg07447902,CDC6,0.08548039745863818,0.04261633860959066,0.07412148662460157
cg15434599,MDM2,0.08706380611713392,0.03890895552552095,0.06835006520649846
cg06881186,BCL2,0.08722458796205954,0.038548265348675316,0.06817092563339562
cg04021430,ORC6,0.08762650895207222,0.03765899279498934,0.06682252256888681
cg23995744,CDC20,0.09070133565264452,0.03141463615104428,0.05689179811546507
cg24675094,UBE2C,0.09113304600162922,0.03061315309843429,0.055631488561637486
cg17173732,BCL2,0.09268303409261008,0.027878258602383108,0.05137007791418146
cg13736875,UBE2C,0.0931631605554996,0.027074889080774538,0.05027572662043459
cg03394237,MYC,0.09725143066254359,0.021005289809350333,0.03967665852877285
cg08554462,BCL2,0.09760991163924725,0.020534402350201483,0.03905906451295032
cg10836034,MYC,0.09932081606435901,0.018411343643649776,0.03541159890585194
cg26441142,MYC,0.10003959362203772,0.017578213403138594,0.03418346296477505
cg08428512,MYC,0.10166153343784937,0.015818352779994726,0.030989858420287068
cg21874706,KRT14,0.10314305024057074,0.014347905358800624,0.02821397807495496
cg16617518,FOXC1,0.10939661283556906,0.009383595930002982,0.018874637614929662
cg18423859,BCL2,0.11813968882694617,0.005003958552966196,0.010382228966193643
cg23614125,PGR,0.1189841465469695,0.004698856034084967,0.009826575912550704
cg24666276,MYC,0.12256431643642338,0.0035833615441762862,0.00777132318428355
cg01074584,SFRP1,0.1225979387377462,0.003574134525257013,0.00777132318428355
cg03575666,SFRP1,0.1234694960326357,0.0033423477416891687,0.007308785310664696
cg00611675,MYC,0.12541051148800067,0.0028744382842356185,0.006364827629378869
cg15639974,CENPF,0.1305137716273772,0.0019145207960132194,0.00433026806651917
cg23935746,CCNB1,0.13067320858024992,0.0018899297143517423,0.0042930731011352075
cg01807412,CDC6,0.13194043311710607,0.001704528796765907,0.0039055942430244917
cg25080152,MYC,0.14383869310921693,0.0006189276349648708,0.0014962149707637017
cg15345369,RRM2,0.14708754884143602,0.00046292078490737577,0.0011346942030055211
cg17919667,FGFR4,0.14839088372991288,0.0004113171667821552,0.001017672051146459
cg24247425,BIRC5,0.14900576837650414,0.00038887962027421916,0.0009712775349976942
cg04404789,ORC6,0.14937924489959775,0.000375813647300647,0.0009476257996528277
cg05877143,BCL2,0.15118382105619485,0.00031825100058556136,0.0008063378716759175
cg16327647,CENPF,0.17036225070912797,4.843657884614869e-05,0.00013505860874031935
cg10289325,ERBB2,0.18620649122908475,8.69275258280504e-06,2.694753300669563e-05
cg24649641,ERBB2,0.18826921941523822,6.874668880234727e-06,2.156518154692679e-05
cg21959457,NUF2,0.19128735891578033,4.8544416202755934e-06,1.541138996316408e-05
cg07935886,SFRP1,0.1954668799486144,2.971146560290118e-06,9.606099615171117e-06
cg25730573,BCL2,0.1972093220923669,2.4136378970443784e-06,7.90054143939371e-06
cg23359714,SFRP1,0.20871998419482862,5.836336201959807e-07,2.036919985717098e-06
cg02330892,ERBB2,0.21268512943442852,3.511663494412711e-07,1.2504369334834453e-06
cg10394385,ERBB2,0.21473178616054972,2.691316756784873e-07,9.71454747140841e-07
cg23850750,FOXC1,0.21491159822802405,2.6288069794374004e-07,9.554353642506967e-07
cg09410389,SFRP1,0.22427023131201884,7.522191252980755e-08,2.872604920522361e-07
cg23946695,FOXC1,0.23116609806872157,2.8870501004836582e-08,1.1526328810264303e-07
cg16688583,PGR,0.23307154112928707,2.2039340666562968e-08,8.934409639445141e-08
cg00368577,KRT5,0.2667836139966144,1.2508871845151866e-10,6.462917119995131e-10
cg00173799,PGR,0.38940529007909447,7.941386512541898e-22,8.541042228795063e-21
